OBJECTID,CT20,LABEL,Shape__Area,Shape__Length
1,101110,1011.10,1676518.62890625,5565.41134050116
2,101122,1011.22,3881000.54296875,11695.3042767108
3,101220,1012.20,1025452.0859375,4688.6071469117
4,101221,1012.21,519705.703125,3378.8243265165
5,101222,1012.22,435061.8671875,3685.23331215193
6,101300,1013.00,3785756.421875,10853.3434217305
7,101400,1014.00,9256640.5078125,15739.5942226874
8,102103,1021.03,1739800.41015625,6028.75135516493
9,102104,1021.04,2431473.0234375,10170.1058255023
10,102105,1021.05,722290.4765625,3676.68301168015
11,102107,1021.07,18955558.6835938,23492.9508504225
12,103101,1031.01,2979791.75,9383.13579724512
13,103102,1031.02,1821420.578125,6100.16291211683
14,103201,1032.01,2869150.49609375,6731.00082901264
15,103202,1032.02,6956276.82421875,16867.3964247581
16,103300,1033.00,9013128.0625,13780.5549841838
17,103401,1034.01,2056696.62109375,7552.81496509121
18,103402,1034.02,1612863.56640625,5406.01163322593
19,104103,1041.03,1393597.65625,4886.68442481303
20,104105,1041.05,858384.08984375,4298.39651732659
21,104108,1041.08,1609878.3046875,7002.32712860498
22,104124,1041.24,2265165.390625,10366.304338375
23,104201,1042.01,1600760.69921875,5471.06022509743
24,104203,1042.03,1039483.90234375,4082.25037214934
25,104204,1042.04,3756942.36328125,11360.5030799522
26,104310,1043.10,2214848.94140625,7054.24636603786
27,104321,1043.21,763132.171875,3929.58398383563
28,104322,1043.22,1016349.70703125,5394.84585787781
29,104401,1044.01,999745.44140625,4589.25134630527
30,104403,1044.03,1017108.2734375,5936.15835835494
31,104404,1044.04,791998.23046875,4037.76168906612
32,104500,1045.00,779197.6875,4173.33528533746
33,104610,1046.10,869006.80078125,4283.90744111169
34,104620,1046.20,779486.57421875,4173.36868581829
35,104701,1047.01,808058.4921875,4097.84094867239
36,104703,1047.03,1714278.6640625,5648.18476844985
37,104704,1047.04,2440883.1328125,6250.26395978759
38,104821,1048.21,780206.03125,4173.47143952739
39,104822,1048.22,886628.65234375,5084.59911251239
40,104823,1048.23,779562.77734375,4173.06233833138
41,104824,1048.24,868662.84375,4283.61054888088
42,106010,1060.10,3700720.67578125,8854.71838924946
43,106020,1060.20,2965651.3671875,8581.86137999034
44,106111,1061.11,4094748.37890625,10353.0133619297
45,106112,1061.12,4742940.09765625,18393.7725906537
46,106113,1061.13,2120675.984375,7326.53161942314
47,106114,1061.14,1489947,6367.53140827074
48,106403,1064.03,1624344.2109375,5283.48354798437
49,106405,1064.05,1721808.48828125,5354.96236345279
50,106406,1064.06,2959617.546875,7807.68513040117
51,106407,1064.07,341078.7421875,2348.34134715495
52,106408,1064.08,336598.67578125,2326.25987289594
53,106510,1065.10,8510442.5546875,13672.9730069765
54,106520,1065.20,3240995.08984375,7307.77014550156
55,106603,1066.03,15165626.6445313,17896.6964408489
