ID,latitude,longitude,NAME,Review_num,Rating,Categories,Price
XgQ8riUvnMOBVfRG29NCEQ,34.07015196,-118.3076326,Anju House,205,4.3,"Korean, Bars, Tapas/Small Plates",
88kri8FhXy8b3DQ_QjSMmQ,34.09906083,-118.3373094,L'Antica Pizzeria Da Michele,2182,4.3,"Pizza, Italian, Breakfast & Brunch",$$$
z0zaCVA-p_5xTsyUZrmR0g,34.064154,-118.343684,Republique,7246,4.2,"French, Breakfast & Brunch, Cocktail Bars",$$
RVbZaawgEGmto6TxOoVBdQ,34.10052,-118.32927,Running Goose,1785,4.3,"Gastropubs, Latin American",$$
cal0Wpupxj9c_AV7WzDXsw,34.0771299,-118.38068,GRANVILLE,2835,4.4,"New American, Cocktail Bars",$$
ccJcaRCHQkJmmnGC1SN4hQ,34.06309,-118.29754,Louders,617,4.5,"Asian Fusion, Chicken Shop",$$
XT5o_SKmmpIGvwDKYZw5tg,34.10016,-118.33014,The Highlight Room Grill,444,3.8,"Breakfast & Brunch, New American, Acai Bowls",$$
dnYh7aAv1O5RwseWGdLOKQ,34.09948,-118.33167,Ka'teen,686,4,"Mexican, Cocktail Bars, Breakfast & Brunch",
o8Y0SXqQuIC7HOWe45w8PQ,34.057451,-118.295235,Kingyubu,82,4.8,"Sushi Bars, Korean, Barbeque",$$
3FlrvSaW-TSwkQDsCpKYEg,34.07211,-118.367363,OSTE,890,4.7,"Italian, Pizza",
A1uhJRnDhxIbn2HzLFaMXg,34.05243,-118.30441,Lasung House,13,4.6,"Korean, Comfort Food",
1RJCu-0D5ZEnVRBKwqodGQ,34.07587723,-118.3233931,Great White,559,4.1,"New American, Breakfast & Brunch, Cocktail Bars",$$
h1R2iKYdm2lwukzMJvJqDw,34.06286026,-118.2975703,Hangari Kalguksu,2720,4.4,"Korean, Noodles",$$
iRjnWYY5oVJTaZ5teU1vOQ,34.06329,-118.30372,King Chang - LA,503,4.8,"Korean, Barbeque, Beer, Wine & Spirits",
wwTc59Ul8abQO0dLon5jkA,34.08841221,-118.3437228,Mother Tongue,346,4.1,"New American, Seafood, Vegetarian",
T4eGk9bvqtHS_M3IVlv72g,34.06042091,-118.309614,Enchant,122,4.1,"Asian Fusion, Breakfast & Brunch, Wine Bars",$$
HuQtriV_ApipXfM8xax33w,34.060415,-118.345018,Met Him At A Bar,764,4.3,"Italian, Cocktail Bars",$$
25fipMHUHLZTq0sVQINi5g,34.145172,-118.369529,The Front Yard,3523,4,"New American, Breakfast & Brunch, Beer, Wine & Spirits",$$
WO12S4gvOYkYF8_70RWrQA,34.064166,-118.309516,HanEuem,270,4.4,"Korean, Comfort Food, Gastropubs",$$$
o3yPf6EwWGYNcN3OnZFOPg,34.10237658,-118.3273158,Lemon Grove,117,4.4,"Cocktail Bars, New American, Wine Bars",
irWMpwJ1JFx5ih4TTQVo6Q,34.08340422,-118.3132193,The Edmon,325,4.4,"Cocktail Bars, New American",$$
gTnENRgQRiVa3LxKO6FaBg,34.09045547,-118.3184784,Taste of the Caribbean LA,234,4.2,Caribbean,
Yb4aeWCdmrBnNlGm3FlUEg,34.101457,-118.301858,Roasted Duck By Paord,7,4.9,Thai,
h2u-coGd8WWClyU3b7jf8w,34.0609448,-118.3446759,Met Her At A Bar,2598,4.4,"Cafes, Breakfast & Brunch, New American",$$
JhFb3lEHS8N6F3oMjJx1Iw,34.10237501,-118.3273317,Jemma Hollywood,111,4.5,Italian,
gdt3KaVt_KM0Mgwi69iMfw,34.062128,-118.313381,Dasom By Chef Kang,35,4.9,"Korean, Comfort Food, Soup",
IXX4iFv3YcU5TVyjncfQHg,34.061463,-118.311848,Burnin' Shell,150,4.6,"Seafood, Korean, Barbeque",$$$
ohosmz6FXVAeoW5nUkYwng,34.09053959,-118.2771289,Pine & Crane,3084,4.4,"Taiwanese, Wine Bars, Tapas/Small Plates",$$
0SerWqGwzNWpTA2RBLVdUg,34.06301164,-118.2975587,Sun Nong Dan,2514,4.3,"Korean, Soup",$$$
mogBbg16id_H0pw_YQ3YbA,34.0327954,-118.3477496,Cento,762,4.5,"Italian, Mediterranean, Tapas/Small Plates",$$
vs8USEc1A480H8MnmFKs5A,34.06309,-118.29754,Chadolpoong,553,4.5,"Korean, Soup, Comfort Food",$$
HFUPpBwUs42VUZlbFA1jgg,34.06868111,-118.3095399,Bitbokki,43,4.7,"Ramen, Bars, Korean",
z7hrUyqC0c7hgRbHaN4vRw,34.063811,-118.29736,Danbi,14,4.9,Korean,
K-Fbh2WCHlqR56H9TnfpNA,34.048831,-118.25136,Perch,10305,4.1,"Lounges, French, Breakfast & Brunch",$$$
V_t4QBPg-eC9-rpD1TRYQg,34.09932,-118.33115,Mother Wolf,908,4,Italian,$$$$
bJvQKjdfoSVoEDSca9hfHg,34.03973,-118.25852,Cabra Los Angeles,511,4.5,Peruvian,$$
z77RF59UiHvPui3Xfxi5Pw,34.09772,-118.31918,New York's Chopped Cheese,70,4.4,"Delis, Sandwiches",$$
rRK5eBRqFmBQXOmqIPeH0Q,34.063675,-118.30814,Jilli Modern Sool Jib,78,4.2,"Korean, Tapas Bars, Wine Bars",
e0Vs3U-XkLkZ7EJ6JgPAYQ,34.07033,-118.292183,Olivia,221,4.8,"Vegetarian, Pizza, Wine Bars",$$
eHwdLWQrg4nr_3fuiH_jhQ,34.0575395,-118.3072592,Honey Night,491,4.7,"Korean, Bars",$$
Tykto4okKk2seF86k28dww,34.09447,-118.37434,Casa Madera - West Hollywood,366,3.8,"Mexican, Mediterranean",$$$$
BzmbRSKGs56Yw2w2R12khw,34.09784367,-118.3183377,Hoy-Ka Thai Restaurant,2307,4.3,"Thai, Noodles",$$
DvektCSGOlP-WNR3fZ4YZA,34.09083207,-118.2779915,Joseon,36,4.3,"Korean, Bars",$$$
LJEsTC6Juzr0lL-hla7nVw,34.08865,-118.34291,Mr. T,123,4.5,French,$$$
